!! n100w100.005    77.76 873


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      14.00      15.00        .00        .00     857.00        .00
    2       7.00      24.00        .00     216.00     392.00        .00
    3      15.00      27.00        .00        .00      79.00        .00
    4       5.00      30.00        .00     528.00     568.00        .00
    5      45.00      26.00        .00      54.00     179.00        .00
    6      44.00      43.00        .00     122.00     240.00        .00
    7      16.00      20.00        .00        .00      44.00        .00
    8      39.00      28.00        .00     585.00     647.00        .00
    9      48.00      31.00        .00      92.00     183.00        .00
   10      39.00      32.00        .00      44.00     141.00        .00
   11      17.00       1.00        .00     315.00     387.00        .00
   12      38.00      40.00        .00     158.00     234.00        .00
   13       3.00      48.00        .00     181.00     290.00        .00
   14       2.00      20.00        .00     486.00     625.00        .00
   15      10.00      12.00        .00     285.00     390.00        .00
   16      44.00      31.00        .00     106.00     149.00        .00
   17       5.00      42.00        .00     197.00     300.00        .00
   18       8.00      11.00        .00     256.00     355.00        .00
   19      49.00       1.00        .00     398.00     521.00        .00
   20      47.00      47.00        .00     138.00     199.00        .00
   21      26.00      48.00        .00     143.00     301.00        .00
   22      18.00      33.00        .00        .00      93.00        .00
   23      30.00      26.00        .00      27.00     124.00        .00
   24       5.00      15.00        .00     283.00     398.00        .00
   25      21.00       7.00        .00     308.00     437.00        .00
   26       8.00      47.00        .00     186.00     272.00        .00
   27      18.00      30.00        .00        .00      88.00        .00
   28      15.00      20.00        .00     549.00     628.00        .00
   29      24.00      29.00        .00      12.00     159.00        .00
   30      29.00      32.00        .00      35.00     117.00        .00
   31      19.00      36.00        .00      23.00      77.00        .00
   32      27.00      38.00        .00     175.00     241.00        .00
   33      44.00      15.00        .00     706.00     827.00        .00
   34      21.00      36.00        .00        .00      94.00        .00
   35      40.00       3.00        .00     380.00     516.00        .00
   36      47.00       7.00        .00     377.00     526.00        .00
   37      44.00      10.00        .00     600.00     717.00        .00
   38       9.00      43.00        .00     201.00     326.00        .00
   39       2.00      14.00        .00     500.00     613.00        .00
   40      39.00      44.00        .00     176.00     286.00        .00
   41      27.00       8.00        .00     362.00     498.00        .00
   42       9.00       9.00        .00     302.00     349.00        .00
   43      36.00      16.00        .00     322.00     459.00        .00
   44      17.00       2.00        .00     287.00     372.00        .00
   45       5.00      45.00        .00     201.00     260.00        .00
   46      11.00      27.00        .00        .00      83.00        .00
   47      31.00      46.00        .00     110.00     276.00        .00
   48      34.00      32.00        .00      28.00     136.00        .00
   49      20.00      44.00        .00     561.00     665.00        .00
   50      14.00      43.00        .00     204.00     251.00        .00
   51      21.00      12.00        .00     426.00     527.00        .00
   52      11.00      19.00        .00     253.00     329.00        .00
   53        .00      41.00        .00     212.00     303.00        .00
   54       8.00       7.00        .00     304.00     393.00        .00
   55      23.00        .00        .00     333.00     447.00        .00
   56      13.00      32.00        .00        .00     109.00        .00
   57      17.00      21.00        .00        .00      33.00        .00
   58      42.00      33.00        .00      47.00     176.00        .00
   59       4.00       1.00        .00     282.00     385.00        .00
   60      18.00       4.00        .00     414.00     563.00        .00
   61      33.00      28.00        .00      91.00     170.00        .00
   62      41.00      33.00        .00     116.00     151.00        .00
   63      10.00      48.00        .00     219.00     273.00        .00
   64      28.00      15.00        .00     310.00     454.00        .00
   65      46.00      42.00        .00      90.00     186.00        .00
   66      16.00      14.00        .00     462.00     595.00        .00
   67      25.00      32.00        .00      34.00     137.00        .00
   68      28.00       9.00        .00     353.00     456.00        .00
   69      18.00      26.00        .00        .00      66.00        .00
   70      13.00       2.00        .00     300.00     371.00        .00
   71      30.00      31.00        .00      36.00     170.00        .00
   72      31.00      17.00        .00     334.00     485.00        .00
   73      15.00      37.00        .00       6.00     118.00        .00
   74      14.00      25.00        .00     641.00     729.00        .00
   75       4.00       7.00        .00     265.00     388.00        .00
   76      24.00       9.00        .00     295.00     388.00        .00
   77      19.00      15.00        .00     435.00     516.00        .00
   78      27.00      24.00        .00      25.00     177.00        .00
   79      20.00      29.00        .00        .00      77.00        .00
   80       9.00       6.00        .00     505.00     585.00        .00
   81       6.00      29.00        .00     240.00     346.00        .00
   82      16.00      28.00        .00       1.00      75.00        .00
   83      32.00       2.00        .00     398.00     508.00        .00
   84      26.00      20.00        .00     322.00     413.00        .00
   85      46.00       3.00        .00     386.00     492.00        .00
   86      36.00      46.00        .00     171.00     220.00        .00
   87      10.00      31.00        .00        .00      70.00        .00
   88      36.00       2.00        .00     430.00     509.00        .00
   89      17.00       4.00        .00     312.00     410.00        .00
   90      46.00      31.00        .00      72.00     155.00        .00
   91      15.00      36.00        .00      10.00     120.00        .00
   92      33.00      19.00        .00     344.00     485.00        .00
   93      47.00      47.00        .00      92.00     240.00        .00
   94      33.00      14.00        .00     456.00     551.00        .00
   95      19.00       2.00        .00     275.00     429.00        .00
   96      11.00      43.00        .00     193.00     332.00        .00
   97       9.00      28.00        .00     251.00     357.00        .00
   98      16.00       2.00        .00     296.00     409.00        .00
   99      20.00      38.00        .00        .00      89.00        .00
  100      19.00      11.00        .00     482.00     548.00        .00
  101       4.00      17.00        .00     679.00     750.00        .00
  999        .00        .00        .00        .00        .00        .00
